name,price_level,rating,user_rating_count,business_status,phone,website,google_maps_url,address,latitude,longitude,primary_type,types,opening_hours,source_label,source_query,source_type,source_area,id
ESCĀ CUEVA,PRICE_LEVEL_VERY_EXPENSIVE,2.9,1022,OPERATIONAL,010 66890890,,https://maps.google.com/?cid=3429026570607303012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"New Giza Rd, First 6th of October, Giza Governorate 3293400, Egypt",30.0212108,31.051544499999995,restaurant,restaurant; point_of_interest; food; establishment,Monday: 1:00 PM – 1:00 AM | Tuesday: 1:00 PM – 1:00 AM | Wednesday: 1:00 PM – 1:00 AM | Thursday: 1:00 PM – 2:00 AM | Friday: 1:00 PM – 2:00 AM | Saturday: 1:00 PM – 1:00 AM | Sunday: 1:00 PM – 1:00 AM,restaurant,"restaurant in 6th of October City, Giza, Egypt",restaurant,6 October core,ChIJ1zu47PdbWBQRZJlsin9Zli8
The Tap West,PRICE_LEVEL_EXPENSIVE,4.3,1501,OPERATIONAL,010 60000867,https://www.thetap.co/,https://maps.google.com/?cid=2103844481789951413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"26th of July Corridor, First Al Sheikh Zayed, Giza Governorate 12578, Egypt",30.017205500000003,31.000775100000002,bar_and_grill,bar_and_grill; bar; restaurant; food; point_of_interest; establishment,Monday: 4:00 PM – 1:00 AM | Tuesday: 4:00 PM – 1:00 AM | Wednesday: 4:00 PM – 1:00 AM | Thursday: 4:00 PM – 2:00 AM | Friday: 2:00 PM – 2:00 AM | Saturday: 2:00 PM – 1:00 AM | Sunday: 4:00 PM – 1:00 AM,restaurant,"restaurant in 6th of October City, Giza, Egypt",restaurant,6 October core,ChIJv8kCiNNbWBQRtX3B12hbMh0
Miss Li Lee's,PRICE_LEVEL_EXPENSIVE,4.3,191,OPERATIONAL,010 50010632,https://www.ihg.com/crowneplaza/hotels/us/en/cairo/caisz/hoteldetail/dining,https://maps.google.com/?cid=4562987326840326883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Plot 29, Arkan Plaza Zayed Entrance, 2 26th of July Corridor, First Al Sheikh Zayed, Giza Governorate 12588, Egypt",30.0209973,31.004940899999998,asian_restaurant,asian_restaurant; restaurant; point_of_interest; food; establishment,Monday: 1:00 PM – 3:00 AM | Tuesday: 1:00 PM – 3:00 AM | Wednesday: 1:00 PM – 3:00 AM | Thursday: 1:00 PM – 3:00 AM | Friday: 1:00 PM – 3:00 AM | Saturday: 1:00 PM – 3:00 AM | Sunday: 1:00 PM – 3:00 AM,restaurant,"restaurant in 6th of October City, Giza, Egypt",restaurant,6 October core,ChIJpXMb3CVbWBQR40rtSsz8Uj8
Nazim Coffee,PRICE_LEVEL_MODERATE,5,342,OPERATIONAL,012 73334636,https://nazim.coffee/,https://maps.google.com/?cid=15817106438303971222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Westown Hub, Beverly Hills, Second Al Sheikh Zayed, Giza Governorate 3240061, Egypt",30.0737822,30.9461364,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 7:00 AM – 3:00 AM | Tuesday: 7:00 AM – 3:00 AM | Wednesday: 7:00 AM – 3:00 AM | Thursday: 7:00 AM – 3:00 AM | Friday: 7:00 AM – 3:00 AM | Saturday: 7:00 AM – 3:00 AM | Sunday: 7:00 AM – 3:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJzeyO8ABZWBQRlvemxYCmgds
Hatchi Specialty Coffee,PRICE_LEVEL_MODERATE,5,21,OPERATIONAL,010 90848445,https://hatchicoffee.com/,https://maps.google.com/?cid=3874238891257493007&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Eden Plaza, First Al Sheikh Zayed, Giza Governorate 12525, Egypt",30.0251588,30.990312,coffee_shop,coffee_shop; coffee_stand; coffee_roastery; cafe; food_store; store; food; point_of_interest; establishment,Monday: 4:00 PM – 12:01 AM | Tuesday: 4:00 PM – 12:01 AM | Wednesday: 4:00 PM – 12:01 AM | Thursday: 4:00 PM – 12:01 AM | Friday: 4:00 PM – 12:01 AM | Saturday: 4:00 PM – 12:01 AM | Sunday: 4:00 PM – 12:01 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJAT9aEwBbWBQRD_ZnuL4PxDU
Koffee Kulture,PRICE_LEVEL_MODERATE,4.9,1102,OPERATIONAL,010 32759275,https://koffee-kulture.com/,https://maps.google.com/?cid=9881385998207430304&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Ivory Business Park, Second Al Sheikh Zayed, Giza Governorate 3240102, Egypt",30.0805235,30.957530999999996,coffee_shop,coffee_shop; cafe; food_store; store; point_of_interest; food; establishment,Monday: 7:30 AM – 11:45 PM | Tuesday: 7:30 AM – 11:45 PM | Wednesday: 7:30 AM – 11:45 PM | Thursday: 7:30 AM – 11:45 PM | Friday: 7:30 AM – 11:45 PM | Saturday: 7:30 AM – 11:45 PM | Sunday: 7:30 AM – 11:45 PM,strict cafe,"cafe in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJe56XSP1ZWBQRoC6sJza8IYk
1980 Coffee,PRICE_LEVEL_MODERATE,4.9,508,OPERATIONAL,,,https://maps.google.com/?cid=15090505350007601947&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Park St. west, First Al Sheikh Zayed, Giza Governorate 19519, Egypt",30.025418300000002,31.011454899999997,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 8:30 AM – 12:30 AM | Tuesday: 8:30 AM – 12:30 AM | Wednesday: 8:30 AM – 12:30 AM | Thursday: 8:30 AM – 12:30 AM | Friday: 8:30 AM – 12:30 AM | Saturday: 8:30 AM – 12:30 AM | Sunday: 8:30 AM – 12:30 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Arkan / Americana Plaza,ChIJCQSBUABbWBQRG7tVtKk-bNE
Dancing Goat Coffee - Galleria 40,PRICE_LEVEL_MODERATE,4.9,286,OPERATIONAL,011 11473155,https://www.dancinggoat.coffee/,https://maps.google.com/?cid=3318163301574864983&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"26th of July Corridor, First Al Sheikh Zayed, Giza Governorate 12578, Egypt",30.0168031,31.0008803,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 7:00 AM – 12:00 AM | Tuesday: 7:00 AM – 12:00 AM | Wednesday: 7:00 AM – 12:00 AM | Thursday: 7:00 AM – 12:00 AM | Friday: 7:00 AM – 12:00 AM | Saturday: 7:00 AM – 12:00 AM | Sunday: 7:00 AM – 12:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJTR-wToVbWBQRV3AbQfF7DC4
Koffee Kulture,PRICE_LEVEL_MODERATE,4.9,258,OPERATIONAL,,,https://maps.google.com/?cid=2053036018490675966&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Trivium Mall, First Al Sheikh Zayed, Giza Governorate 3244530, Egypt",30.0259465,31.009501699999994,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,Monday: 7:30 AM – 11:30 PM | Tuesday: 7:30 AM – 11:30 PM | Wednesday: 7:30 AM – 11:30 PM | Thursday: 7:30 AM – 11:30 PM | Friday: 7:30 AM – 11:30 PM | Saturday: 7:30 AM – 11:30 PM | Sunday: 7:30 AM – 11:45 PM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,Capital Business Park / Zayed,ChIJA7kz2chbWBQR_hI4oWHZfRw
Double dose coffee,PRICE_LEVEL_MODERATE,4.9,32,OPERATIONAL,010 39541423,http://doubledosecoffee.com/,https://maps.google.com/?cid=14668789479899399286&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"22G6+R7G, El-Bostan, First Al Sheikh Zayed, Giza Governorate 3244533, Egypt",30.027407600000004,31.010843699999995,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,Monday: 8:00 AM – 12:00 AM | Tuesday: 8:00 AM – 12:00 AM | Wednesday: 8:00 AM – 12:00 AM | Thursday: 8:00 AM – 12:00 AM | Friday: 8:00 AM – 1:00 AM | Saturday: 8:00 AM – 12:00 AM | Sunday: 8:00 AM – 12:00 AM,strict cafe,"coffee shop in Sheikh Zayed City, Giza, Egypt",cafe,6 October core,ChIJ-eILBgBbWBQRdgRkOlACkss
